"satisfaction","motivation"
7.9,3.6
5.4,1.8
7.4,3.333
6.2,2.283
8.5,4.533
5.5,2.883
8.8,4.7
8.5,3.6
5.1,1.95
8.5,4.35
5.4,1.833
8.4,3.917
7.8,4.2
4.7,1.75
8.3,4.7
5.2,2.167
6.2,1.75
8.4,4.8
5.2,1.6
7.9,4.25
5.1,1.8
4.7,1.75
7.8,3.45
6.9,3.067
7.4,4.533
8.3,3.6
5.5,1.967
7.6,4.083
7.8,3.85
7.9,4.433
7.3,4.3
7.7,4.467
6.6,3.367
8,4.033
7.4,3.833
5.2,2.017
4.8,1.867
8,4.833
5.9,1.833
9,4.783
8,4.35
5.8,1.883
8.4,4.567
5.8,1.75
7.3,4.533
8.3,3.317
6.4,3.833
5.3,2.1
8.2,4.633
5.9,2
7.5,4.8
9,4.716
5.4,1.833
8,4.833
5.4,1.733
8.3,4.883
7.1,3.717
6.4,1.667
7.7,4.567
8.1,4.317
5.9,2.233
8.4,4.5
4.8,1.75
8.2,4.8
6,1.817
9.2,4.4
7.8,4.167
7.8,4.7
6.5,2.067
7.3,4.7
8.2,4.033
5.6,1.967
7.9,4.5
7.1,4
6.2,1.983
7.6,5.067
6,2.017
7.8,4.567
7.6,3.883
8.3,3.6
7.5,4.133
8.2,4.333
7,4.1
6.5,2.633
7.3,4.067
8.8,4.933
7.6,3.95
8,4.517
4.8,2.167
8.6,4
6,2.2
9,4.333
5,1.867
7.8,4.817
6.3,1.833
7.2,4.3
8.4,4.667
7.5,3.75
5.1,1.867
8.2,4.9
6.2,2.483
8.8,4.367
4.9,2.1
8.3,4.5
8.1,4.05
4.7,1.867
8.4,4.7
5.2,1.783
8.6,4.85
8.1,3.683
7.5,4.733
5.9,2.3
8.9,4.9
7.9,4.417
5.9,1.7
8.1,4.633
5,2.317
8.5,4.6
5.9,1.817
8.7,4.417
5.3,2.617
6.9,4.067
7.7,4.25
5.6,1.967
8.8,4.6
8.1,3.767
4.5,1.917
8.2,4.5
5.5,2.267
9,4.65
4.5,1.867
8.3,4.167
5.6,2.8
8.9,4.333
4.6,1.833
8.2,4.383
5.1,1.883
8.6,4.933
5.3,2.033
7.9,3.733
8.1,4.233
6,2.233
8.2,4.533
7.7,4.817
7.6,4.333
5.9,1.983
8,4.633
4.9,2.017
9.6,5.1
5.3,1.8
7.7,5.033
7.7,4
6.5,2.4
8.1,4.6
7.1,3.567
7,4
8.1,4.5
9.3,4.083
5.3,1.8
8.9,3.967
4.5,2.2
8.6,4.15
5.8,2
7.8,3.833
6.6,3.5
7.6,4.583
6.3,2.367
8.8,5
5.2,1.933
9.3,4.617
4.9,1.917
5.7,2.083
7.7,4.583
6.8,3.333
8.1,4.167
8.1,4.333
7.3,4.5
5,2.417
8.5,4
7.4,4.167
5.5,1.883
7.7,4.583
8.3,4.25
8.3,3.767
5.1,2.033
7.8,4.433
8.4,4.083
4.6,1.833
8.3,4.417
5.5,2.183
8.1,4.8
5.7,1.833
7.6,4.8
8.4,4.1
7.7,3.966
8.1,4.233
8.7,3.5
7.7,4.366
5.1,2.25
7.8,4.667
6,2.1
8.2,4.35
9.1,4.133
5.3,1.867
7.8,4.6
4.6,1.783
7.7,4.367
8.4,3.85
4.9,1.933
8.3,4.5
7.1,2.383
8,4.7
4.9,1.867
7.5,3.833
6.4,3.417
7.6,4.233
5.3,2.4
9.4,4.8
5.5,2
7.6,4.15
5,1.867
8.2,4.267
5.4,1.75
7.5,4.483
7.8,4
7.9,4.117
7.8,4.083
7.8,4.267
7,3.917
7.9,4.55
7,4.083
5.4,2.417
8.6,4.183
5,2.217
9,4.45
5.4,1.883
5.4,1.85
7.7,4.283
7.9,3.95
6.4,2.333
7.5,4.15
4.7,2.35
8.6,4.933
6.3,2.9
8.5,4.583
8.2,3.833
5.7,2.083
8.2,4.367
6.7,2.133
7.4,4.35
5.4,2.2
8.3,4.45
7.3,3.567
7.3,4.5
8.8,4.15
8,3.817
7.1,3.917
8.3,4.45
5.6,2
7.9,4.283
7.8,4.767
8.4,4.533
5.8,1.85
8.3,4.25
4.3,1.983
6,2.25
7.5,4.75
8.1,4.117
4.6,2.15
9,4.417
4.6,1.817
7.4,4.467
